Year,age
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2004.0,0.0
2003.0,1.0
2003.0,1.0
2003.0,1.0
2003.0,1.0
2003.0,1.0
2003.0,1.0
2003.0,1.0
2003.0,1.0
2003.0,1.0
2003.0,1.0
2003.0,1.0
2003.0,1.0
2003.0,1.0
2003.0,1.0
2003.0,1.0
2003.0,1.0
2003.0,1.0
2003.0,1.0
2003.0,1.0
2003.0,1.0
2003.0,1.0
2003.0,1.0
2003.0,1.0
2003.0,1.0
2003.0,1.0
2003.0,1.0
2003.0,1.0
2003.0,1.0
2003.0,1.0
2003.0,1.0
2003.0,1.0
2003.0,1.0
2003.0,1.0
2003.0,1.0
2003.0,1.0
2003.0,1.0
2003.0,1.0
2003.0,1.0
2003.0,1.0
2003.0,1.0
2003.0,1.0
2003.0,1.0
2003.0,1.0
2003.0,1.0
2003.0,1.0
2003.0,1.0
2003.0,1.0
2003.0,1.0
2003.0,1.0
2003.0,1.0
2003.0,1.0
2003.0,1.0
2003.0,1.0
2003.0,1.0
2003.0,1.0
2003.0,1.0
2003.0,1.0
2003.0,1.0
2003.0,1.0
2003.0,1.0
2003.0,1.0
2003.0,1.0
2003.0,1.0
2003.0,1.0
2003.0,1.0
2003.0,1.0
2003.0,1.0
2003.0,1.0
2003.0,1.0
2003.0,1.0
2003.0,1.0
2003.0,1.0
2003.0,1.0
2003.0,1.0
2003.0,1.0
2003.0,1.0
2003.0,1.0
2003.0,1.0
2003.0,1.0
2003.0,1.0
2002.0,2.0
2002.0,2.0
2002.0,2.0
2002.0,2.0
2002.0,2.0
2002.0,2.0
2002.0,2.0
2002.0,2.0
2002.0,2.0
2002.0,2.0
2002.0,2.0
2002.0,2.0
2002.0,2.0
2002.0,2.0
2002.0,2.0
2002.0,2.0
2002.0,2.0
2002.0,2.0
2002.0,2.0
2002.0,2.0
2002.0,2.0
2002.0,2.0
2002.0,2.0
2002.0,2.0
2002.0,2.0
2002.0,2.0
2002.0,2.0
2002.0,2.0
2002.0,2.0
2002.0,2.0
2002.0,2.0
2002.0,2.0
2002.0,2.0
2002.0,2.0
2002.0,2.0
2002.0,2.0
2002.0,2.0
2002.0,2.0
2002.0,2.0
2002.0,2.0
2002.0,2.0
2002.0,2.0
2002.0,2.0
2002.0,2.0
2002.0,2.0
2002.0,2.0
2002.0,2.0
2002.0,2.0
2002.0,2.0
2002.0,2.0
2002.0,2.0
2002.0,2.0
2002.0,2.0
2002.0,2.0
2002.0,2.0
2002.0,2.0
2002.0,2.0
2002.0,2.0
2001.0,3.0
2001.0,3.0
2001.0,3.0
2001.0,3.0
2001.0,3.0
2001.0,3.0
2001.0,3.0
2001.0,3.0
2001.0,3.0
2001.0,3.0
2001.0,3.0
2001.0,3.0
2001.0,3.0
2001.0,3.0
2001.0,3.0
2001.0,3.0
2001.0,3.0
2001.0,3.0
2001.0,3.0
2001.0,3.0
2001.0,3.0
2001.0,3.0
2001.0,3.0
2001.0,3.0
2001.0,3.0
2001.0,3.0
2001.0,3.0
2001.0,3.0
2e3,4.0
2e3,4.0
2e3,4.0
2e3,4.0
2e3,4.0
2e3,4.0
2e3,4.0
2e3,4.0
2e3,4.0
2e3,4.0
2e3,4.0
2e3,4.0
2e3,4.0
2e3,4.0
2e3,4.0
2e3,4.0
2e3,4.0
2e3,4.0
2e3,4.0
2e3,4.0
2e3,4.0
2e3,4.0
1999.0,5.0
1999.0,5.0
1999.0,5.0
1999.0,5.0
1999.0,5.0
1999.0,5.0
1999.0,5.0
1999.0,5.0
1999.0,5.0
1999.0,5.0
1999.0,5.0
1999.0,5.0
1999.0,5.0
1999.0,5.0
1999.0,5.0
1999.0,5.0
1999.0,5.0
1999.0,5.0
1999.0,5.0
1999.0,5.0
1999.0,5.0
1999.0,5.0
1999.0,5.0
1999.0,5.0
1999.0,5.0
1999.0,5.0
1999.0,5.0
1999.0,5.0
1999.0,5.0
1999.0,5.0
1999.0,5.0
1999.0,5.0
1999.0,5.0
1999.0,5.0
1999.0,5.0
1999.0,5.0
1998.0,6.0
1998.0,6.0
1998.0,6.0
1998.0,6.0
1998.0,6.0
1998.0,6.0
1998.0,6.0
1998.0,6.0
1998.0,6.0
1998.0,6.0
1998.0,6.0
1998.0,6.0
1998.0,6.0
1998.0,6.0
1998.0,6.0
1998.0,6.0
1998.0,6.0
1998.0,6.0
1998.0,6.0
1998.0,6.0
1998.0,6.0
1998.0,6.0
1998.0,6.0
1998.0,6.0
1998.0,6.0
1998.0,6.0
1998.0,6.0
1998.0,6.0
1998.0,6.0
1998.0,6.0
1998.0,6.0
1998.0,6.0
1998.0,6.0
1998.0,6.0
1998.0,6.0
1998.0,6.0
1998.0,6.0
1998.0,6.0
1998.0,6.0
1998.0,6.0
1998.0,6.0
1998.0,6.0
1998.0,6.0
1998.0,6.0
1998.0,6.0
1998.0,6.0
1998.0,6.0
1998.0,6.0
1997.0,7.0
1997.0,7.0
1997.0,7.0
1997.0,7.0
1997.0,7.0
1997.0,7.0
1997.0,7.0
1997.0,7.0
1997.0,7.0
1997.0,7.0
1997.0,7.0
1997.0,7.0
1997.0,7.0
1997.0,7.0
1997.0,7.0
1997.0,7.0
1997.0,7.0
1997.0,7.0
1997.0,7.0
1997.0,7.0
1997.0,7.0
1997.0,7.0
1996.0,8.0
1996.0,8.0
1996.0,8.0
1996.0,8.0
1996.0,8.0
1996.0,8.0
1996.0,8.0
1996.0,8.0
1996.0,8.0
1996.0,8.0
1996.0,8.0
1996.0,8.0
1996.0,8.0
1996.0,8.0
1996.0,8.0
1996.0,8.0
1996.0,8.0
1996.0,8.0
1996.0,8.0
1996.0,8.0
1996.0,8.0
1996.0,8.0
1996.0,8.0
1996.0,8.0
1996.0,8.0
1996.0,8.0
1996.0,8.0
1996.0,8.0
1995.0,9.0
1995.0,9.0
1995.0,9.0
1995.0,9.0
1995.0,9.0
1995.0,9.0
1995.0,9.0
1995.0,9.0
1995.0,9.0
1995.0,9.0
1995.0,9.0
1995.0,9.0
1995.0,9.0
1995.0,9.0
1995.0,9.0
1995.0,9.0
1995.0,9.0
1995.0,9.0
1995.0,9.0
1995.0,9.0
1995.0,9.0
1995.0,9.0
1995.0,9.0
1995.0,9.0
1994.0,10.0
1994.0,10.0
1994.0,10.0
1994.0,10.0
1994.0,10.0
1994.0,10.0
1994.0,10.0
1994.0,10.0
1994.0,10.0
1994.0,10.0
1994.0,10.0
1994.0,10.0
1994.0,10.0
1994.0,10.0
1994.0,10.0
1994.0,10.0
1994.0,10.0
1994.0,10.0
1994.0,10.0
1994.0,10.0
1994.0,10.0
1994.0,10.0
1994.0,10.0
1994.0,10.0
1993.0,11.0
1993.0,11.0
1993.0,11.0
1993.0,11.0
1993.0,11.0
1993.0,11.0
1993.0,11.0
1993.0,11.0
1993.0,11.0
1993.0,11.0
1993.0,11.0
1993.0,11.0
1993.0,11.0
1993.0,11.0
1993.0,11.0
1993.0,11.0
1993.0,11.0
1993.0,11.0
1993.0,11.0
1993.0,11.0
1993.0,11.0
1993.0,11.0
1993.0,11.0
1993.0,11.0
1993.0,11.0
1993.0,11.0
1993.0,11.0
1993.0,11.0
1993.0,11.0
1993.0,11.0
1992.0,12.0
1992.0,12.0
1992.0,12.0
1992.0,12.0
1992.0,12.0
1992.0,12.0
1992.0,12.0
1992.0,12.0
1992.0,12.0
1992.0,12.0
1992.0,12.0
1992.0,12.0
1992.0,12.0
1992.0,12.0
1992.0,12.0
1992.0,12.0
1992.0,12.0
1992.0,12.0
1992.0,12.0
1992.0,12.0
1992.0,12.0
1992.0,12.0
1992.0,12.0
1992.0,12.0
1992.0,12.0
1992.0,12.0
1992.0,12.0
1992.0,12.0
1992.0,12.0
1992.0,12.0
1992.0,12.0
1992.0,12.0
1992.0,12.0
1992.0,12.0
1991.0,13.0
1991.0,13.0
1991.0,13.0
1991.0,13.0
1991.0,13.0
1991.0,13.0
1991.0,13.0
1991.0,13.0
1991.0,13.0
1991.0,13.0
1991.0,13.0
1991.0,13.0
1991.0,13.0
1991.0,13.0
1991.0,13.0
1991.0,13.0
1990.0,14.0
1990.0,14.0
1990.0,14.0
1990.0,14.0
1990.0,14.0
1990.0,14.0
1990.0,14.0
1990.0,14.0
1990.0,14.0
1990.0,14.0
1990.0,14.0
1990.0,14.0
1990.0,14.0
1990.0,14.0
1990.0,14.0
1990.0,14.0
1990.0,14.0
1990.0,14.0
1990.0,14.0
1990.0,14.0
1989.0,15.0
1989.0,15.0
1989.0,15.0
1989.0,15.0
1989.0,15.0
1989.0,15.0
1989.0,15.0
1989.0,15.0
1989.0,15.0
1989.0,15.0
1989.0,15.0
1989.0,15.0
1988.0,16.0
1988.0,16.0
1988.0,16.0
1988.0,16.0
1988.0,16.0
1988.0,16.0
1988.0,16.0
1988.0,16.0
1988.0,16.0
1988.0,16.0
1987.0,17.0
1987.0,17.0
1987.0,17.0
1987.0,17.0
1987.0,17.0
1987.0,17.0
1987.0,17.0
1987.0,17.0
1987.0,17.0
1987.0,17.0
1987.0,17.0
1987.0,17.0
1986.0,18.0
1986.0,18.0
1986.0,18.0
1986.0,18.0
1986.0,18.0
1986.0,18.0
1986.0,18.0
1986.0,18.0
1986.0,18.0
1986.0,18.0
1986.0,18.0
1986.0,18.0
1986.0,18.0
1986.0,18.0
1985.0,19.0
1985.0,19.0
1985.0,19.0
1985.0,19.0
1985.0,19.0
1985.0,19.0
1985.0,19.0
1985.0,19.0
1985.0,19.0
1985.0,19.0
1985.0,19.0
1985.0,19.0
1985.0,19.0
1985.0,19.0
1985.0,19.0
1985.0,19.0
1984.0,20.0
1984.0,20.0
1984.0,20.0
1984.0,20.0
1984.0,20.0
1984.0,20.0
1984.0,20.0
1984.0,20.0
1984.0,20.0
1984.0,20.0
1984.0,20.0
1984.0,20.0
1984.0,20.0
1984.0,20.0
1984.0,20.0
1984.0,20.0
1983.0,21.0
1983.0,21.0
1983.0,21.0
1983.0,21.0
1983.0,21.0
1983.0,21.0
1983.0,21.0
1983.0,21.0
1983.0,21.0
1983.0,21.0
1982.0,22.0
1982.0,22.0
1982.0,22.0
1982.0,22.0
1982.0,22.0
1982.0,22.0
1981.0,23.0
1981.0,23.0
1981.0,23.0
1981.0,23.0
1981.0,23.0
1981.0,23.0
1981.0,23.0
1981.0,23.0
1980.0,24.0
1980.0,24.0
1980.0,24.0
1980.0,24.0
1980.0,24.0
1980.0,24.0
1980.0,24.0
1980.0,24.0
1979.0,25.0
1979.0,25.0
1979.0,25.0
1979.0,25.0
1979.0,25.0
1979.0,25.0
1978.0,26.0
1978.0,26.0
1977.0,27.0
1977.0,27.0
1976.0,28.0
1976.0,28.0
1976.0,28.0
1976.0,28.0
1976.0,28.0
1976.0,28.0
1976.0,28.0
1976.0,28.0
1976.0,28.0
1976.0,28.0
1976.0,28.0
1976.0,28.0
1975.0,29.0
1975.0,29.0
1974.0,30.0
1974.0,30.0
1974.0,30.0
1974.0,30.0
