date,time,record_identifier,intensity_rating,name
18510625,0,NA,HU,AL011851
18510625,600,NA,HU,AL011851
18510625,1200,NA,HU,AL011851
18510625,1800,NA,HU,AL011851
18510625,2100,L,HU,AL011851
18510626,0,NA,HU,AL011851
18510626,600,NA,TS,AL011851
18510626,1200,NA,TS,AL011851
18510626,1800,NA,TS,AL011851
18510627,0,NA,TS,AL011851
18510627,600,NA,TS,AL011851
18510627,1200,NA,TS,AL011851
18510627,1800,NA,TS,AL011851
18510628,0,NA,TS,AL011851
18510705,1200,NA,HU,AL021851
18510710,1200,NA,TS,AL031851
18510816,0,NA,TS,AL041851
18510816,600,NA,TS,AL041851
18510816,1200,NA,TS,AL041851
18510816,1800,NA,TS,AL041851
18510817,0,NA,TS,AL041851
18510817,600,NA,TS,AL041851
18510817,1200,NA,HU,AL041851
18510817,1800,NA,HU,AL041851
18510818,0,NA,HU,AL041851
18510818,600,NA,HU,AL041851
18510818,1200,NA,HU,AL041851
18510818,1800,NA,HU,AL041851
18510819,0,NA,HU,AL041851
18510819,600,NA,HU,AL041851
18510819,1200,NA,TS,AL041851
18510819,1800,NA,TS,AL041851
18510820,0,NA,HU,AL041851
18510820,600,NA,HU,AL041851
18510820,1200,NA,HU,AL041851
18510820,1800,NA,HU,AL041851
18510821,0,NA,TS,AL041851
18510821,600,NA,TS,AL041851
18510821,1200,NA,HU,AL041851
18510821,1800,NA,HU,AL041851
18510822,0,NA,HU,AL041851
18510822,600,NA,HU,AL041851
18510822,1200,NA,HU,AL041851
18510822,1800,NA,HU,AL041851
18510823,0,NA,HU,AL041851
18510823,600,NA,HU,AL041851
18510823,1200,NA,HU,AL041851
18510823,1800,NA,HU,AL041851
18510823,2100,L,HU,AL041851
18510824,0,NA,HU,AL041851
18510824,600,NA,HU,AL041851
18510824,1200,NA,TS,AL041851
18510824,1800,NA,TS,AL041851
18510825,0,NA,TS,AL041851
18510825,600,NA,TS,AL041851
18510825,1200,NA,TS,AL041851
18510825,1800,NA,TS,AL041851
18510826,0,NA,TS,AL041851
18510826,600,NA,TS,AL041851
18510826,1200,NA,TS,AL041851
18510826,1800,NA,TS,AL041851
18510827,0,NA,TS,AL041851
18510827,600,NA,TS,AL041851
18510827,1200,NA,TS,AL041851
18510827,1800,NA,TS,AL041851
18510913,0,NA,TS,AL051851
18510913,600,NA,TS,AL051851
18510913,1200,NA,TS,AL051851
18510913,1800,NA,TS,AL051851
18510914,0,NA,TS,AL051851
18510914,600,NA,TS,AL051851
18510914,1200,NA,TS,AL051851
18510914,1800,NA,TS,AL051851
18510915,0,NA,TS,AL051851
18510915,600,NA,TS,AL051851
18510915,1200,NA,TS,AL051851
18510915,1800,NA,TS,AL051851
18510916,0,NA,TS,AL051851
18510916,600,NA,TS,AL051851
18510916,1200,NA,TS,AL051851
18510916,1800,NA,TS,AL051851
18511016,0,NA,TS,AL061851
18511016,600,NA,TS,AL061851
18511016,1200,NA,TS,AL061851
18511016,1800,NA,TS,AL061851
18511017,0,NA,TS,AL061851
18511017,600,NA,TS,AL061851
18511017,1200,NA,TS,AL061851
18511017,1800,NA,TS,AL061851
18511018,0,NA,TS,AL061851
18511018,600,NA,TS,AL061851
18511018,1200,NA,TS,AL061851
18511018,1800,NA,TS,AL061851
18511019,0,NA,TS,AL061851
18511019,600,NA,TS,AL061851
18511019,1200,NA,TS,AL061851
18511019,1500,L,TS,AL061851
18511019,1800,NA,TS,AL061851
18520819,0,NA,TS,AL011852
18520819,600,NA,TS,AL011852
18520819,1200,NA,TS,AL011852
18520819,1800,NA,TS,AL011852
18520820,0,NA,HU,AL011852
18520820,600,NA,HU,AL011852
18520820,1200,NA,HU,AL011852
18520820,1800,NA,HU,AL011852
18520821,0,NA,HU,AL011852
18520821,600,NA,HU,AL011852
18520821,1200,NA,HU,AL011852
18520821,1800,NA,HU,AL011852
18520822,0,NA,HU,AL011852
18520822,600,NA,HU,AL011852
18520822,1200,NA,HU,AL011852
18520822,1800,NA,HU,AL011852
18520823,0,NA,HU,AL011852
18520823,600,NA,HU,AL011852
18520823,1200,NA,HU,AL011852
18520823,1800,NA,HU,AL011852
18520824,0,NA,HU,AL011852
18520824,600,NA,HU,AL011852
18520824,1200,NA,HU,AL011852
18520824,1800,NA,HU,AL011852
18520825,0,NA,HU,AL011852
18520825,600,NA,HU,AL011852
18520825,1200,NA,HU,AL011852
18520825,1800,NA,HU,AL011852
18520826,0,NA,HU,AL011852
18520826,600,L,HU,AL011852
18520826,1200,NA,HU,AL011852
18520826,1800,NA,HU,AL011852
18520827,0,NA,TS,AL011852
18520827,600,NA,TS,AL011852
18520827,1200,NA,TS,AL011852
18520827,1800,NA,TS,AL011852
18520828,0,NA,TS,AL011852
18520828,600,NA,TS,AL011852
18520828,1200,NA,TS,AL011852
18520828,1800,NA,TS,AL011852
18520829,0,NA,TS,AL011852
18520829,600,NA,TS,AL011852
18520829,1200,NA,TS,AL011852
18520829,1800,NA,TS,AL011852
18520830,0,NA,TS,AL011852
18520905,0,NA,HU,AL021852
18520905,600,NA,HU,AL021852
18520905,1200,NA,HU,AL021852
18520905,1800,NA,TS,AL021852
18520906,0,NA,TS,AL021852
18520906,600,NA,TS,AL021852
18520906,1200,NA,TS,AL021852
18520906,1800,NA,TS,AL021852
18520909,0,NA,HU,AL031852
18520909,600,NA,HU,AL031852
18520909,1200,NA,HU,AL031852
18520909,1800,NA,HU,AL031852
18520910,0,NA,HU,AL031852
18520910,600,NA,HU,AL031852
18520910,1200,NA,HU,AL031852
18520910,1800,NA,HU,AL031852
18520911,0,NA,HU,AL031852
18520911,600,NA,HU,AL031852
18520911,1200,NA,HU,AL031852
18520911,1800,NA,HU,AL031852
18520912,0,L,HU,AL031852
18520912,600,NA,TS,AL031852
18520912,1200,NA,TS,AL031852
18520912,1800,NA,TS,AL031852
18520913,0,NA,TS,AL031852
18520913,600,NA,HU,AL031852
18520913,1200,NA,HU,AL031852
18520913,1800,NA,HU,AL031852
18520922,0,NA,TS,AL041852
18520922,600,NA,TS,AL041852
18520922,1200,NA,TS,AL041852
18520922,1800,NA,TS,AL041852
18520923,0,NA,TS,AL041852
18520923,600,NA,TS,AL041852
18520923,1200,NA,HU,AL041852
18520923,1800,NA,HU,AL041852
18520924,0,NA,HU,AL041852
18520924,600,NA,HU,AL041852
18520924,1200,NA,HU,AL041852
18520924,1800,NA,HU,AL041852
18520925,0,NA,HU,AL041852
18520925,600,NA,HU,AL041852
18520925,1200,NA,HU,AL041852
18520925,1800,NA,HU,AL041852
18520926,0,NA,HU,AL041852
18520926,600,NA,HU,AL041852
18520926,1200,NA,HU,AL041852
18520926,1800,NA,HU,AL041852
18520927,0,NA,HU,AL041852
18520927,600,NA,HU,AL041852
18520927,1200,NA,HU,AL041852
18520927,1800,NA,HU,AL041852
18520928,0,NA,HU,AL041852
18520928,600,NA,HU,AL041852
18520928,1200,NA,HU,AL041852
18520928,1800,NA,HU,AL041852
18520929,0,NA,HU,AL041852
18520929,600,NA,HU,AL041852
18520929,1200,NA,HU,AL041852
18520929,1800,NA,HU,AL041852
18520930,0,NA,HU,AL041852
18520930,600,NA,HU,AL041852
18520930,1200,NA,HU,AL041852
18520930,1800,NA,HU,AL041852
18521006,0,NA,HU,AL051852
18521006,600,NA,HU,AL051852
18521006,1200,NA,HU,AL051852
18521006,1800,NA,HU,AL051852
18521007,0,NA,HU,AL051852
18521007,600,NA,HU,AL051852
18521007,1200,NA,HU,AL051852
18521007,1800,NA,HU,AL051852
18521008,0,NA,HU,AL051852
18521008,600,NA,HU,AL051852
18521008,1200,NA,HU,AL051852
18521008,1800,NA,HU,AL051852
18521009,0,NA,HU,AL051852
18521009,600,NA,HU,AL051852
18521009,1200,NA,HU,AL051852
18521009,1800,NA,HU,AL051852
18521009,2100,L,HU,AL051852
18521010,0,NA,HU,AL051852
18521010,600,NA,TS,AL051852
18521010,1200,NA,TS,AL051852
18521010,1800,NA,TS,AL051852
18521011,0,NA,TS,AL051852
18521011,600,NA,TS,AL051852
18521011,1200,NA,TS,AL051852
18521011,1800,NA,TS,AL051852
18530805,1200,NA,TS,AL011853
18530810,1200,NA,TS,AL021853
18530830,0,NA,TS,AL031853
18530830,600,NA,TS,AL031853
18530830,1200,NA,TS,AL031853
18530830,1800,NA,TS,AL031853
18530831,0,NA,TS,AL031853
18530831,600,NA,TS,AL031853
18530831,1200,NA,TS,AL031853
18530831,1800,NA,TS,AL031853
18530901,0,NA,HU,AL031853
18530901,600,NA,HU,AL031853
18530901,1200,NA,HU,AL031853
18530901,1800,NA,HU,AL031853
18530902,0,NA,HU,AL031853
18530902,600,NA,HU,AL031853
18530902,1200,NA,HU,AL031853
18530902,1800,NA,HU,AL031853
18530903,0,NA,HU,AL031853
18530903,600,NA,HU,AL031853
18530903,1200,NA,HU,AL031853
18530903,1800,NA,HU,AL031853
18530904,0,NA,HU,AL031853
18530904,600,NA,HU,AL031853
18530904,1200,NA,HU,AL031853
18530904,1800,NA,HU,AL031853
18530905,0,NA,HU,AL031853
18530905,600,NA,HU,AL031853
18530905,1200,NA,HU,AL031853
18530905,1800,NA,HU,AL031853
18530906,0,NA,HU,AL031853
18530906,600,NA,HU,AL031853
18530906,1200,NA,HU,AL031853
18530906,1800,NA,HU,AL031853
18530907,0,NA,HU,AL031853
18530907,600,NA,HU,AL031853
18530907,1200,NA,HU,AL031853
18530907,1800,NA,HU,AL031853
18530908,0,NA,HU,AL031853
18530908,600,NA,HU,AL031853
18530908,1200,NA,HU,AL031853
18530908,1800,NA,HU,AL031853
18530909,0,NA,HU,AL031853
18530909,600,NA,HU,AL031853
18530909,1200,NA,HU,AL031853
18530909,1800,NA,HU,AL031853
18530910,0,NA,HU,AL031853
18530910,600,NA,HU,AL031853
18530910,1200,NA,HU,AL031853
18530910,1800,NA,HU,AL031853
18530908,0,NA,HU,AL041853
18530908,600,NA,HU,AL041853
18530908,1200,NA,HU,AL041853
18530908,1800,NA,HU,AL041853
18530909,0,NA,HU,AL041853
18530909,600,NA,HU,AL041853
18530909,1200,NA,HU,AL041853
18530909,1800,NA,HU,AL041853
18530910,0,NA,HU,AL041853
18530910,600,NA,HU,AL041853
18530910,1200,NA,HU,AL041853
18530910,1800,NA,HU,AL041853
18530921,1200,NA,TS,AL051853
18530926,0,NA,TS,AL061853
18530926,600,NA,TS,AL061853
18530926,1200,NA,TS,AL061853
18530926,1800,NA,TS,AL061853
18530927,0,NA,TS,AL061853
18530927,600,NA,TS,AL061853
18530927,1200,NA,HU,AL061853
18530927,1800,NA,HU,AL061853
18530928,0,NA,HU,AL061853
18530928,600,NA,HU,AL061853
18530928,1200,NA,HU,AL061853
18530928,1800,NA,HU,AL061853
18530929,0,NA,HU,AL061853
18530929,600,NA,HU,AL061853
18530929,1200,NA,HU,AL061853
18530929,1800,NA,HU,AL061853
18530930,0,NA,HU,AL061853
18530930,600,NA,HU,AL061853
18530930,1200,NA,HU,AL061853
18530930,1800,NA,HU,AL061853
18531001,0,NA,HU,AL061853
18531001,600,NA,HU,AL061853
18530928,1200,NA,TS,AL071853
18531019,0,NA,HU,AL081853
18531019,600,NA,HU,AL081853
18531019,1200,NA,HU,AL081853
18531019,1800,NA,HU,AL081853
18531020,0,NA,HU,AL081853
18531020,600,NA,HU,AL081853
18531020,1200,NA,HU,AL081853
18531020,1800,NA,HU,AL081853
18531021,0,NA,HU,AL081853
18531021,600,NA,HU,AL081853
18531021,1200,NA,HU,AL081853
18531021,1800,NA,HU,AL081853
18531022,0,NA,HU,AL081853
18531022,600,NA,HU,AL081853
18540625,0,NA,TS,AL011854
18540625,600,NA,TS,AL011854
18540625,1200,NA,HU,AL011854
18540625,1800,NA,HU,AL011854
18540626,0,NA,HU,AL011854
18540626,600,NA,HU,AL011854
18540626,1200,L,HU,AL011854
18540626,1800,NA,TS,AL011854
18540627,0,NA,TS,AL011854
18540627,600,NA,TS,AL011854
18540627,1200,NA,TS,AL011854
18540823,1200,NA,TS,AL021854
18540907,0,NA,HU,AL031854
18540907,600,NA,HU,AL031854
18540907,1200,NA,HU,AL031854
18540907,1800,NA,HU,AL031854
18540908,0,NA,HU,AL031854
18540908,600,NA,HU,AL031854
18540908,1200,NA,HU,AL031854
18540908,1800,NA,HU,AL031854
18540908,2e3,L,HU,AL031854
18540909,0,NA,HU,AL031854
18540909,600,NA,HU,AL031854
18540909,1200,NA,TS,AL031854
18540909,1800,NA,TS,AL031854
18540910,0,NA,TS,AL031854
18540910,600,NA,TS,AL031854
18540910,1200,NA,TS,AL031854
18540910,1800,NA,TS,AL031854
18540911,0,NA,HU,AL031854
18540911,600,NA,HU,AL031854
18540911,1200,NA,HU,AL031854
18540911,1800,NA,HU,AL031854
18540912,0,NA,HU,AL031854
18540912,600,NA,HU,AL031854
18540912,1200,NA,HU,AL031854
18540912,1800,NA,HU,AL031854
18540918,0,NA,HU,AL041854
18540918,600,NA,HU,AL041854
18540918,1200,NA,HU,AL041854
18540918,1800,NA,HU,AL041854
18540918,2100,L,HU,AL041854
18540919,0,NA,HU,AL041854
18540919,600,NA,HU,AL041854
18540919,1200,NA,TS,AL041854
18540919,1800,NA,TS,AL041854
18540920,0,NA,TS,AL041854
